URL,Relative url,Title,Address
https://newyork.craigslist.org/mnh/egr/d/harriman-construction-inspectors-and/7106359503.html,https://newyork.craigslist.org/mnh/egr/d/harriman-construction-inspectors-and/7106359503.html,Construction Inspectors and Office Engineer,Harriman
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7106263041.html,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7106263041.html,Intermediate Architect for Luxury Residential Firm,Chelsea
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7105740987.html,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7105740987.html,Facade / Building Envelope Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7104622232.html,https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7104622232.html,CIVIL ENGINEERS & Surveyors - All Levels,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-define-ventilator-construction/7103743530.html,https://newyork.craigslist.org/mnh/egr/d/new-york-define-ventilator-construction/7103743530.html,Define a ventilator construction kit,Anywhere
https://newyork.craigslist.org/mnh/egr/d/new-york-project-engineer/7103099375.html,https://newyork.craigslist.org/mnh/egr/d/new-york-project-engineer/7103099375.html,Project Engineer,"New York, NY"
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/7102572644.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/7102572644.html,Construction Project Manager-Brooklyn,new york city: brooklyn
https://newyork.craigslist.org/que/egr/d/college-point-senior-construction/7102446473.html,https://newyork.craigslist.org/que/egr/d/college-point-senior-construction/7102446473.html,"Senior Construction Inspector, NYSDOT JOB IN QUEENS",Queens
https://newjersey.craigslist.org/egr/d/avenel-quality-control-inspector/7115840066.html,https://newjersey.craigslist.org/egr/d/avenel-quality-control-inspector/7115840066.html,Quality Control Inspector,
https://newjersey.craigslist.org/egr/d/wayne-entry-level-health-safety-officer/7115182521.html,https://newjersey.craigslist.org/egr/d/wayne-entry-level-health-safety-officer/7115182521.html,Entry Level Health & Safety Officer,
https://newjersey.craigslist.org/egr/d/maspeth-soil-inspector-nicet-nettcp-and/7113421323.html,https://newjersey.craigslist.org/egr/d/maspeth-soil-inspector-nicet-nettcp-and/7113421323.html,"Soil Inspector NICET, NETTCP and/or ICC soils *Required*",
https://newjersey.craigslist.org/egr/d/fairfield-electrical-controls-engineer/7113208086.html,https://newjersey.craigslist.org/egr/d/fairfield-electrical-controls-engineer/7113208086.html,Electrical / Controls Engineer,
https://newjersey.craigslist.org/egr/d/lafayette-experienced-lic-architect-pt/7112939477.html,https://newjersey.craigslist.org/egr/d/lafayette-experienced-lic-architect-pt/7112939477.html,Experienced Lic. Architect PT Work from Home. Start Immed,
https://newjersey.craigslist.org/egr/d/new-york-plastic-process-engineer/7111281574.html,https://newjersey.craigslist.org/egr/d/new-york-plastic-process-engineer/7111281574.html,Plastic Process Engineer,
https://newjersey.craigslist.org/egr/d/mountainside-estimator/7108706413.html,https://newjersey.craigslist.org/egr/d/mountainside-estimator/7108706413.html,Estimator,
https://newjersey.craigslist.org/egr/d/mountainside-project-manager/7108704472.html,https://newjersey.craigslist.org/egr/d/mountainside-project-manager/7108704472.html,Project Manager,
https://newjersey.craigslist.org/egr/d/autocad-draftsman-designer-hackensack/7107990377.html,https://newjersey.craigslist.org/egr/d/autocad-draftsman-designer-hackensack/7107990377.html,AutoCAD Draftsman / Designer (Hackensack),
https://newjersey.craigslist.org/egr/d/hackensack-engineer-engineering-manager/7107990162.html,https://newjersey.craigslist.org/egr/d/hackensack-engineer-engineering-manager/7107990162.html,Engineer / Engineering Manager,
https://newjersey.craigslist.org/egr/d/paramus-land-surveyor/7106496772.html,https://newjersey.craigslist.org/egr/d/paramus-land-surveyor/7106496772.html,LAND SURVEYOR,
